"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"The unseen invaders: introduced earthworms as drivers of change in plant communities in North American forests (a meta-analysis)","Dylan Craven","Nico Eisenhauer","Globally, biological invasions can have strong impacts on biodiversity as well as ecosystem functioning. While less conspicuous than introduced aboveground organisms, introduced belowground organisms may have similarly strong effects. Here, we synthesize for the first time the impacts of introduced earthworms on plant diversity and community composition in North American forests. We conducted a meta‐analysis using a total of 645 observations to quantify mean effect sizes of associations between introduced earthworm communities and plant diversity, cover of plant functional groups, and cover of native and non‐native plants. We found that plant diversity significantly declined with increasing richness of introduced earthworm ecological groups. While plant species richness or evenness did not change with earthworm invasion, our results indicate clear changes in plant community composition: cover of graminoids and non‐native plant species significantly increased, and cover of native plant species (of all functional groups) tended to decrease, with increasing earthworm biomass. Overall, these findings support the hypothesis that introduced earthworms facilitate particular plant species adapted to the abiotic conditions of earthworm‐invaded forests. Further, our study provides evidence that introduced earthworms are associated with declines in plant diversity in North American forests. Changing plant functional composition in these forests may have long‐lasting effects on ecosystem functioning.","GLOBAL CHANGE BIOLOGY ","en",2016,"Mar","Chile","Germany","10.1111/gcb.13446","http://dx.doi.org/10.1111/gcb.13446","10.1111/gcb.13446","Various (meta-analysis)","Various","introduced earthworms;plant communities;plant diversity;biological invasions;earthworm invasion;community composition;meta-analysis","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Different earthworm ecological groups interactively impact seedling establishment.","Roman Asshoff","Nico Eisenhauer","There is increasing evidence that direct interactions between earthworms and seeds impact the assembly of plant communities. However, effects of earthworms of different ecological groups and their interactions on plant germination and establishment are little known. We set up a full-factorial greenhouse experiment in order to explore impacts of different ecological groups of earthworms (epigeic, endogeic and anecic) on the establishment of seedlings. The three ecological groups of earthworms affected seedling establishment in an interactive way with the effects varying in time. While anecic earthworms detrimentally affected the number of established seedlings, impacts of epigeic and endogeic species depended on the presence of earthworms belonging to other ecological groups. Impacts of anecic earthworms were more significant and consistent than those of epigeic and endogeic ones pointing to the dominance of the effect of anecic earthworms for seedling establishment. The initial positive effect of the combined presence of epigeic and endogeic earthworms compared to treatments with only endogeic and only anecic earthworms was likely due to the acceleration of seed germination and elevated nutrient availability for seedlings in earthworm casts. By contrast, reduced numbers of seedlings in presence of both epigeic and endogeic earthworms compared to the control treatment might have been due to seedling predation after the litter layer had disappeared. The results extend current knowledge on interactions between earthworms and seeds by showing that, in addition to anecic species, also epigeic and endogeic species influence seedling establishment with their effect depending on the presence of anecic species. Moreover, the results indicate that impacts of earthworms vary with the developmental stage of seedlings highlighting the importance of interactions between earthworms and seeds.","EUROPEAN JOURNAL OF SOIL BIOLOGY ","en",2010,"Sep_Oct","Germany","Germany","10.1016/j.ejsobi.2010605","https://doi.org/10.1016/j.ejsobi.2010.06.005","10.1111/gcb.13446","Germany","North Rhine-Westphalia","Anecic earthworms;Endogeic earthworms;Epigeic earthworms;Germination;Grassland Seeds;The Jena experiment","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest.","Robin Beauséjour","Mark Vellend","Time lags are of potentially great importance during biological invasions. For example, significant delays can occur between the human activities permitting the arrival of an invader, the establishment of this new species, and the manifestation of its impacts. In this context, to assess the influence of anthropogenic disturbances, it may become necessary to include a historical perspective. In this study, we reconstructed the history of human activities in a temperate forest now protected as a nature reserve to evaluate the magnitude and duration of the impact of human disturbances (e.g. trails, old quarries), as well as environmental factors, in explaining the probability of occurrence and the intensity of invasion by non-native earthworms and plants. The present-day patterns of distribution and intensity of earthworms and plants were better explained by proximity to the oldest human disturbances (initiated more than a century ago) than by proximity to more recent disturbances or to all disturbances combined. We conclude that understanding present-day patterns of non-native species invasions may often require reconstructing the history of human disturbances that occurred decades or even centuries in the past.","Biological Invasions ","en",2015,"Avr","Canada","Canada","10.1007/s10530-014-0794-y","http://dx.doi.org/10.1007/s10530-014-0794-y","10.1111/gcb.13446","Canada","Gault Nature Reserve","Human activities;Ecological legacies;Nature reserve;Lumbricidae;Taraxacum officinalis;Historical ecology;Time lag","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Non-native invasive earthworms as agents of change in northern temperate forests.","Patrick Joseph Bohlen","Parkinson, Dennis","Exotic earthworms from Europe and Asia are invading many northern forests in North America that currently lack native earthworms, providing an opportunity to assess the role of this important group of invertebrates in forest ecosystems. Research on earthworm invasions has focused on changes in soil structure and carbon (C) and nitrogen (N) cycling that occur following invasion. These changes include the mixing of organic and mineral soil horizons, decreases in soil C storage, and equivocal effects on N cycling. Less well studied are changes in the soil foodwebs that accompany earthworm invasion. Soils of north temperate forests harbor a tremendous diversity of microorganisms and invertebrates, whose distribution and abundance can be substantially altered by earthworm invasion. Furthermore, invasive earthworms can affect understory plant communities, raising concerns over the loss of rare native herbs in some areas. The ecological consequences of earthworm invasion are mediated through physical, geochemical, and biological effects. These effects vary with different earthworm species, as well as with the characteristics of the site being invaded. Earthworm invasions may have important interactions with other rapid changes predicted for northern forests in the coming decades, including climate and land-use change, increased nutrient deposition, and other biological invasions.","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT ","en",2004,"Oct","USA","Canada","10.3410/f.726131311.793514356","https://doi.org/10.2307/3868431","10.1111/gcb.13446","USA","Northern forests, North America.","Keywords +: DENDROBAENA-OCTAEDRA;MICROBIAL BIOMASS;MICROARTHROPOD ABUNDANCES;MICROFUNGAL COMMUNITY;SOIL;CARBON;DECOMPOSITION;NITROGEN;IMPACTS;RESPIRATION","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"What limits trees in c4 grasslands and savannas?","William J. Bond","William J. Bond","Though the distribution of global vegetation can generally be predicted from climate, grasslands are an exception. C4 grassy biomes cover vast areas that are warm enough and wet enough to support closed forests. The extent of this climate mismatch has been revealed by physiologically based global vegetation simulations and by large empirical data sets. Reasons for the existence of grassy biomes have long been debated, polarized into bottom-up (resources) or top-down (fire, herbivory) arguments. Recent studies indicate that both are important, especially in suppressing woody recruits. Grasses are formidable competitors belowground, create highly flammable fuels, and can support large herbivore densities. The net effect on trees is rare and episodic recruitment of adults in tree-fall gaps. The implication is that ecosystem structure and function depend on demographic transitions. Tree cover is increasing and grass/forest boundaries are changing. These changes can have large feedbacks to the earth-atmosphere system. Though progress has been made, there is still great uncertainty in predicting the future of C4 grassy biomes. ","Annual Review of Ecology, Evolution, and Systematics","en",2008,"Déc","South Africa","South Africa","10.1146/annurev.ecolsys.39.110707.173411","http://dx.doi.org/10.1146/annurev.ecolsys.39.110707.173411","10.1111/gcb.13446","South Africa ","Savanas","biome boundaries;fire ecology;mammal herbivory;tree-grass competition;trophic ecology","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"How do earthworms affect microfloral and faunal community diversity?","George G. Brown","George G. Brown","Much of the work regarding earthworm effects on other organisms has focused on the functional significance of microbial-earthworm interactions, and little is known on the effects of earthworms on microfloral and faunal diversity. Earthworms can affect soil microflora and fauna populations directly and indirectly by three main mechanisms: (1) comminution, burrowing and casting; (2) grazing; (3) dispersal. These activities change the soil's physico-chemical and biological status and may cause drastic shifts in the density, diversity, structure and activity of microbial and faunal communities within the drilosphere. Certain organisms and species may be enhanced, reduced or not be affected at all depending on their ability to adapt to the particular conditions of different earthworm drilospheres. A large host of factors (including CaCO3, enzymes, mucus and antimicrobial substances) influence the ability of preferentially or randomly ingested organisms to survive (or not) passage through the earthworm gut, and their resultant capacity to recover and proliferate (or not) in earthworm casts. Small organisms, particularly microflora and microfauna, with limited ability to move within the soil, may benefit from the (comparatively) long ranging movements of earthworms. Microflora and smaller fauna appear to be particularly sensitive to earthworm activities, and priming effects enhancing nutrient release, particularly in casts, are common. Larger fauna such as microarthropods, enchytraeids and Isopods may be enhanced under some conditions (e.g., in earthworm middens), but in other cases earthworm activity may lead to a decrease in their populations due to competition for food (microbes and organic materials), and spatial and temporal changes in food abundance. Nevertheless, considering the presently available data, the beneficial interactions of earthworms and microflora and fauna appear to far outweigh the potential negative effects. However, much is still unknown regarding the interactions of earthworms of different ecological categories on the diversity and function of microfloral and faunal communities, and much more interdisciplinary research is needed to assess the potential role of earthworms in regulating the diversity of microflora and fauna in soil systems and the potentially beneficial or harmful effects this regulation may have on ecosystem function and plant growth in different ecosystems.","Plant and soil ","en",1995,"Mar","USA","USA","10.1007/978-94-011-0479-1_22","http://dx.doi.org/10.1007/978-94-011-0479-1_22","10.1111/gcb.13446","USA","USA","diversity;earthworms;soil fauna;soil microflora;soil processes ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Relative abundance and seasonal activity of earthworms (Lumbricidae and Megascolecidae) as determined by hand-sorting and formalin extraction in forest soils on the southern Appalachian Piedmont.","M.A. Callaham","P.F. Hendrix","The relative efficiency of different sampling methods for earthworms may vary with site characteristics, season and earthworm species. We conducted a study in which earthworms were collected by hand-sorting and by formalin extraction in a successional, mixed hardwood-pine forest. The efficiency of each collecting technique was assessed in terms of seasonal trends, soil physical properties and species collected. Earthworm community age structure and seasonal temperature and moisture trends were the factors most integral to the efficiency of each technique. Results indicate that for the part of the year in which small juvenile earthworms were most abundant (November-May), hand-sorting was far superior to formalin extraction. However, for the remainder of the year, the efficiency of the two techniques did not vary significantly. The formalin extraction method was more effective than hand-sorting for the collection of Lumbricus terrestris L., but not for any other species. Soil physical properties such as pH and texture, while important in distributional patterns of earthworms, did not have a significant effect on the efficiency of the collection techniques.","SOIL BIOLOGY & BIOCHEMISTRY ","en",1997,"Mar-Apr","USA","USA","10.1016/s0038-0717(96)00095-8","http://dx.doi.org/10.1016/s0038-0717(96)00095-8","10.1111/gcb.13446","USA","University of Athens, Georgia","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Root foraging influences plant growth responses to earthworm foraging.","Erin K. Cameron","Erin M. Bayne","Interactions among the foraging behaviours of co-occurring animal species can impact population and community dynamics; the consequences of interactions between plant and animal foraging behaviours have received less attention. In North American forests, invasions by European earthworms have led to substantial changes in plant community composition. Changes in leaf litter have been identified as a critical indirect mechanism driving earthworm impacts on plants. However, there has been limited examination of the direct effects of earthworm burrowing on plant growth. Here we show a novel second pathway exists, whereby earthworms (Lumbricus terrestris L.) impact plant root foraging. In a minirhizotron experiment, roots occurred more frequently in burrows and soil cracks than in the soil matrix. The roots of Achillea millefolium L. preferentially occupied earthworm burrows, where nutrient availability was presumably higher than in cracks due to earthworm excreta. In contrast, the roots of Campanula rotundifolia L. were less likely to occur in burrows. This shift in root behaviour was associated with a 30% decline in the overall biomass of C. rotundifolia when earthworms were present. Our results indicate earthworm impacts on plant foraging can occur indirectly via physical and chemical changes to the soil and directly via root consumption or abrasion and thus may be one factor influencing plant growth and community change following earthworm invasion. More generally, this work demonstrates the potential for interactions to occur between the foraging behaviours of plants and soil animals and emphasizes the importance of integrating behavioural understanding in foraging studies involving plants.","PLOS ONE ","en",2014,"Sep","Canada","Canada","10.1371/journal.pone108873","https://doi.org/10.1371/journal.pone.0108873","10.1111/gcb.13446","Canada","boreal forest of northeastern Alberta (54°36′N, 110° 59′W)","Earthworms;Foraging;Animal behavior;Invasive species;Leaves;Plant-herbivore interactions;Root growth;Species interactions","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Global meta-analysis of the impacts of terres trial invertebrate invaders on species, communities and ecosystems.","Erin K. Cameron","Mar Cabeza","Terrestrial invertebrates comprise a large proportion of alien species world‐wide, yet a quantitative global synthesis of their effects on native species and ecosystems has not been explored. We conducted a meta‐analysis to examine the ecological impacts of terrestrial invertebrate invaders and to test how impacts are modulated by the invader's trophic position, habitat attributes (i.e. insularity and disturbance) and the study methodology (observational versus experimental).LocationGlobal.MethodsWe investigated the effects of terrestrial invertebrate invaders on populations, communities and ecosystems by conducting a random effects meta‐analysis using 112 articles reporting data from 710 field and laboratory studies. The analysis included 16 insect, 11 earthworm, 7 slug and 1 nematode invaders.ResultsOn average, across invaders, the presence of invaders reduced plant fitness (52%), animal diversity (33%) and animal abundance (29%). Leaf litter decomposition was 41% higher in the presence of invaders, while other ecosystem‐level variables such as nutrient cycling were not affected in a consistent direction. Invasive predators and detritivores decreased animal abundance, whereas herbivores and omnivores had limited impacts. Single invaders increased soil nitrogen pools while multiple species did not. Insularity and disturbance did not affect the magnitude of the impacts significantly, mainly because there was a large variation among studies.Main conclusionsOverall, our study indicates that terrestrial invertebrate invaders have significant consistent effects on populations, communities and ecosystems, with islands and disturbed sites not being more prone to impacts. However, effects vary considerably depending on the type of impact being examined and the trophic position of the invader. There is no evidence that invaders cause larger impacts when multiple species of invaders, rather than single invaders, are involved.","Global Ecology and Biogeography","en",2016,"Jan","Finland","Finland","10.1111/geb.12436","http://dx.doi.org/10.1111/geb.12436","10.1111/gcb.13446","Location: Global (website information)","Various","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Invasive earthworms as seed predators of temperate forest plants.","Colin M. Cassin","Peter M. Kotanen","Soil seedbanks play a key role in forest plant communities, contributing to regeneration and acting as a refuge from seed predators. This study provides evidence that seeds entering the soil seed-bank are vulnerable to granivory by invasive earthworms in temperate forests. Overall, 73 % of seeds of 6 ecologically important forest species were removed from the soil surface over 2 weeks in a Lumbricus terrestris microcosm experiment; 30 % vanished entirely, and presumably were destroyed. The invasive garlic mustard, Alliaria petiolata, was subject to the highest rates of removal. In contrast, results from a field exclosure experiment using 23 species of seed indicate that while seed predation by worms is still detectable, predation by rodents often may mask impacts of earthworms under natural conditions. Worms and rodents preferred different sizes of seeds: while seed predation by rodents was high in mid-to large-seeded species, earthworms tended to prefer smaller seeds. These findings suggest that although rodents are the main driver of seed predation, invasive earthworms may act as an additional ecological filter, and potentially may further influence the species composition of forest plant communities.","BIOLOGICAL INVASIONS ","en",2016,"Jun","Canada","Canada","10.1007/s10530-016-1101-x","http://dx.doi.org/10.1007/s10530-016-1101-x","10.1111/gcb.13446","N/A","N/A","Invasive earthworms;Seed predation;Granivory;Seed bank;Lumbricus terrestris;Exotic species","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
